Company,County,State,Lat/Long,lon,lat,Source,Notes,SQFT
Equinix,Secaucus,New Jersey,"40.7779444,-74.0762126",-74.0762126,40.777944,,NY2- Secaucus,"183,900"
Equinix,Secaucus,New Jersey,"40.7768347,-74.0696538",-74.0696538,40.776834,,NY4- Secaucus,"340,000"
Equinix,Secaucus,New Jersey,"40.7787378,-74.0715408",-74.0715408,40.778737,,NY5- New York,"400,000"
Equinix,North Bergen,New Jersey,"40.7968797,-74.0311614",-74.0311614,40.796879,,NY7- Bergen,"163,000"
Equinix,New York,New York,"40.7176601,-74.0082896",-74.0082896,40.717660,,NY8- NYC,"18,236"
Equinix,New York,New York,"40.741355,-74.003203",-74.003203,40.741355,,NY9- NYC,"61,838"
Equinix,Philadelphia,Pennsylvania,"39.95956,-75.160838",-75.160838,39.95956,,PH1,"26,000"
Equinix,Seattle,Washington,"47.5854151,-122.3259838",-122.3259838,47.585415,,SE2,"43,610"
Equinix,Seattle,Washington,"47.6143858,-122.3396754",-122.3396754,47.614385,,SE3,"58,685"
Equinix,San Jose,California,"37.2416206,-121.783222",-121.783222,37.241620,,SV1- San Jose South,"133,500"
Equinix,Santa Clara,California,"37.378663,-121.9549087",-121.9549087,37.378663,,SV2- Santa Clara,"160,000"
Equinix,San Jose,California,"37.388198,-121.88852",-121.88852,37.388198,,SV3- San Jose North,"103,420"
Equinix,Sunnyvale,California,"37.4143803,-122.0144815",-122.0144815,37.414380,,SV4- Sunnyvale,"120,000"
Equinix,San Jose,California,"37.2420037,-121.7817062",-121.7817062,37.242003,,SV5- San Jose South,"126,569"
Equinix,Sunnyvale,California,"37.3996864,-122.0143621",-122.0143621,37.399686,,SV6- Sunnyvale,"41,867"
Equinix,Palo Alto,California,"37.4458479,-122.1607876",-122.1607876,37.445847,,SV8- Palo Alto,"45,319"
Equinix,Ashburn,Virginia,"39.0158327,-77.4598682",-77.4598682,39.015832,,DC1- Ashburn,"147,600"
Equinix,Ashburn,Virginia,"39.0163627,-77.4590225",-77.4590225,39.016362,,DC2- Ashburn,"147,600"
Equinix,Ashburn,Virginia,"39.0218832,-77.4611172",-77.4611172,39.021883,,DC3- Ashburn,"95,444"
Equinix,Ashburn,Virginia,"39.0167411,-77.4612922",-77.4612922,39.016741,,DC4- Ashburn,"99,969"
Equinix,Ashburn,Virginia,"39.015216,-77.457658",-77.457658,39.015216,,DC5- Ashburn,"92,037"
Equinix,Ashburn,Virginia,"39.0149989,-77.4585388",-77.4585388,39.014998,,DC6- Ashburn,"222,358"
Equinix,Vienna,Virginia,"38.908473,-77.220218",-77.220218,38.908473,,DC7- Vienna,"44,382"
Equinix,Vienna,Virginia,"38.9314194,-77.2390456",-77.2390456,38.931419,,DC8- Vienna,"24,567"
Equinix,Ashburn,Virginia,"39.0208636,-77.4512935",-77.4512935,39.020863,,DC10- Ashburn,"152,504"
Equinix,Ashburn,Virginia,"39.0149989,-77.4585388",-77.4585388,39.014998,,DC11- Ashburn,"120,000"
Equinix,Atlanta,Georgia,"33.7584902,-84.3876013",-84.3876013,33.758490,,AT1,"79,201"
Equinix,Atlanta,Georgia,"33.7544849,-84.3901122",-84.3901122,33.754484,,AT2,"12,967"
Equinix,Atlanta,Georgia,"33.7544849,-84.3901122",-84.3901122,33.754484,,AT3,"12,967"
Equinix,Waltham,Massachussets,"42.3953523,-71.2691919",-71.2691919,42.395352,,BO1,"22,000"
Equinix,Chicago,Illinois,"41.8533993,-87.6186369",-87.6186369,41.853399,,CH1,"19,400"
Equinix,Chicago,Illinois,"41.8533993,-87.6186369",-87.6186369,41.853399,,CH2,"19,400"
Equinix,Elk Grove,Illinois,"42.001098,-87.955188",-87.955188,42.001098,,CH3- Elk Grove,"228,000"
Equinix,Chicago,Illinois,"41.8541674,-87.618531",-87.618531,41.854167,,CH4,"19,400"
CoreSite,Somerville,Massachussets,"42.376626,-71.079752",-71.079752,42.376626,,Boston,"273,000"
CoreSite,Chicago,Illinois,"41.875859,-87.631515",-87.631515,41.875859,,Chicago,"183,000"
CoreSite,Denver,Colorado,"39.748045,-104.994573",-104.994573,39.748045,,Denver,"4,000"
CoreSite,Los Angeles,California,"34.047937,-118.255761",-118.255761,34.047937,,LA1,"157,000"
CoreSite,Los Angeles,California,"34.0582966,-118.2356031",-118.2356031,34.058296,,LA2,"434,000"
CoreSite,Miami,Florida,"25.797411,-80.2303",-80.2303,25.797411,,Miami,"45,000"
CoreSite,New York,New York,"40.720217,-74.004805",-74.004805,40.720217,,NY1,"48,000"
CoreSite,Secaucus,New Jersey,"40.778435,-74.063915",-74.063915,40.778435,,NY2,"255,000"
CoreSite,Reston,Virginia,"38.950585,-77.364645",-77.364645,38.950585,,VA1,"262,000"
CoreSite,Washington,DC,"38.902874,-77.028959",-77.028959,38.902874,,DC1,"22,000"
CoreSite,San Jose,California,"37.334121,-121.891661",-121.891661,37.334121,,SV1,"290,000"
CoreSite,Milpitas,California,"37.405631,-121.916314",-121.916314,37.405631,,SV2,"76,000"
CoreSite,Santa Clara,California,"37.376264,-121.972024",-121.972024,37.376264,,SV4,"101,000"
Sabey,Quincy,Washington,"47.227347,-119.8537735",-119.8537735,47.227347,,,"525,000"
Sabey,Wenatchee,Washington,"47.4282,-120.3322459",-120.3322459,47.4282,,,"438,000"
Sabey,Seattle,Washington,"47.493001,-122.293725",-122.293725,47.493001,,,"1,373,000"
Sabey,Manhattan,New York,"40.711,-74.000882",-74.000882,40.711,,,"1,000,000"
Sabey,Ashburn,Virginia,"39.022657,-77.454869",-77.454869,39.022657,,,"490,000"
